job_id,title,organization,locations,url,posted_at
844932500,Developer/AI Expert,U.S. Courts,"Atlanta, Georgia",https://www.usajobs.gov/job/844932500,2025-09-03T14:58:22.380000
844835200,NSA Summer 2026 STEM Internship Programs - Maryland,National Security Agency/Central Security Service,"Fort Meade, Maryland",https://www.usajobs.gov/job/844835200,2025-09-02T17:07:27.593000
844543000,"BRANCH HEAD, HR, POLICY & OPERATIONS NF5",U.S. Marine Corps,"Quantico, Virginia",https://www.usajobs.gov/job/844543000,2025-08-28T09:30:38.827000
844413400,Chief Data and Information Officer,Department of the Air Force - Agency Wide,"Patrick AFB, Florida",https://www.usajobs.gov/job/844413400,2025-08-28T00:00:00
844423700,DATA SCIENTIST,"Air Force Elements, U.S. Transportation Command","Scott AFB, Illinois",https://www.usajobs.gov/job/844423700,2025-08-27T13:55:50.700000
844406000,IT SPECIALIST (POLICY AND PLANNING/PLCYPLN),Organization of the Joint Chiefs of Staff,"Pentagon, Arlington, Virginia",https://www.usajobs.gov/job/844406000,2025-08-27T08:28:04.190000
844349400,Operations Research Analyst,United States Fleet Forces Command,"Groton Submarine Base, Connecticut",https://www.usajobs.gov/job/844349400,2025-08-27T00:00:00
844261200,Program Analyst - Informatics,Veterans Health Administration,"Kansas City, Missouri",https://www.usajobs.gov/job/844261200,2025-08-26T00:00:00
844072700,Supervisory Human Resources Specialist  (INFORMATION SYSTEMS),Defense Contract Audit Agency,"Irving, Texas, Fort Belvoir, Virginia",https://www.usajobs.gov/job/844072700,2025-08-22T00:00:00
843960800,Deputy Assistant Director/Deputy Chief Information Technology Officer (DCIO),"Bureau of Alcohol, Tobacco, Firearms, and Explosives","Washington, District of Columbia",https://www.usajobs.gov/job/843960800,2025-08-21T10:47:29.777000
843857400,Data Scientist,U.S. Army Military Surface Deployment and Distribution Command,"Scott AFB, Illinois",https://www.usajobs.gov/job/843857400,2025-08-21T00:00:00
843856900,Data Scientist,U.S. Army Military Surface Deployment and Distribution Command,"Scott AFB, Illinois",https://www.usajobs.gov/job/843856900,2025-08-21T00:00:00
